"","Round","Age","Sex","Cage","numMice","Trial","segment","Time","endDate","endTime","trialDur","cageType","trialType","TrueZero","Chewed","file_name","numVoids","totUrine","FP_Area","pct_cover","ChewSize"
"53",1,"Young","M",875,4,"10292022_875","D2","dark","10/31/2022","6:00:00 AM",12,"home","Ctrl","","Y","20221031_06.00_C3_875_M_home.csv",68,19.395,367.035,22.717336787065,"bigChew"
"54",1,"Young","M",875,4,"10292022_875","D2","dark","10/31/2022","6:00:00 AM",12,"latrine","Ctrl","","Y","20221031_06.00_C3_875_M_latrine.csv",164,64.932,452.662,14.3444777781214,"smallChew"
"55",1,"Young","M",876,4,"","","light","10/25/2022","6:03:00 PM",12,"latrine","Accl","","","20221025_18.03_C3_876_M_latrine.csv",120,25.049,437.346,5.72750179491752,NA
"56",1,"Young","M",876,4,"","","dark","10/26/2022","6:05:00 AM",12,"latrine","Accl","","Y","20221026_06.05_C3_876_M_latrine.csv",232,66.062,436.961,17.5467077925026,"bigChew"
"57",1,"Young","M",876,4,"","","light","10/26/2022","6:00:00 PM",12,"latrine","Accl","","Y","20221026_18.00_C3_876_M_latrine.csv",205,56.815,430.088,17.0189519460307,"bigChew"
"58",1,"Young","M",876,4,"","","dark","10/27/2022","6:00:00 AM",12,"latrine","Accl","","Y","20221027_06.00_C3_876_M_latrine.csv",160,68.459,454.571,15.0601336204905,"smallChew"
"59",1,"Young","M",876,4,"10272022_876","L1","light","10/27/2022","6:06:00 PM",12,"latrine","Record","","","20221027_18.06_C3_876_M_latrine.csv",245,134.26,452.18,29.6917156884427,NA
"60",1,"Young","M",876,4,"10272022_876","D1","dark","10/28/2022","6:06:00 AM",12,"latrine","Record","","","20221028_06.06_C3_876_M_latrine.csv",227,120.933,468.169,25.8310567337863,NA
"61",1,"Young","M",876,4,"10272022_876","L2","light","10/28/2022","6:12:00 PM",12,"latrine","Record","","Y","20221028_18.12_C3_876_M_latrine.csv",216,74.082,459.994,16.1049926738175,"smallChew"
"62",1,"Young","M",876,4,"10272022_876","D2","dark","10/29/2022","6:00:00 AM",12,"latrine","Record","","Y","20221029_06.00_C3_876_M_latrine_ps.csv",213,144.69,450.531,32.1154371175346,"smallChew"
"63",1,"Young","M",876,4,"10292022_876","L1","light","10/29/2022","6:19:00 PM",12,"home","Ctrl","","","20221029_18.19_C3_876_M_home_ps.csv",138,78.308,457.414,17.1197208655616,NA
"64",1,"Young","M",876,4,"10292022_876","L1","light","10/29/2022","6:23:00 PM",12,"latrine","Ctrl","","Y","20221029_18.23_C3_876_M_latrine.csv",101,46.231,364.389,29.271379695947,"bigChew"
"65",1,"Young","M",876,4,"10292022_876","D1","dark","10/30/2022","6:05:00 AM",12,"home","Ctrl","","","20221030_06.05_C3_876_M_home.csv",131,155.817,453.256,34.3772614151826,NA
"66",1,"Young","M",876,4,"10292022_876","D1","dark","10/30/2022","6:05:00 AM",12,"latrine","Ctrl","","Y","20221030_06.05_C3_876_M_latrine.csv",125,71.897,319.628,44.9277659636302,"bigChew"
"67",1,"Young","M",876,4,"10292022_876","L2","light","10/30/2022","6:00:00 PM",12,"home","Ctrl","","","20221030_18.00_C3_876_M_home_ps.csv",104,181.675,452.904,40.1133573560843,NA
"68",1,"Young","M",876,4,"10292022_876","L2","light","10/30/2022","6:00:00 PM",12,"latrine","Ctrl","","Y","20221030_18.00_C3_876_M_latrine.csv",130,69.859,393.401,28.0744810112777,"bigChew"
"69",1,"Young","M",876,4,"10292022_876","D2","dark","10/31/2022","6:05:00 AM",12,"home","Ctrl","","Y","20221031_06.05_C3_876_M_home.csv",85,14.46,354.858,24.3272811173724,"bigChew"
"70",1,"Young","M",876,4,"10292022_876","D2","dark","10/31/2022","6:05:00 AM",12,"latrine","Ctrl","","Y","20221031_06.05_C3_876_M_latrine.csv",139,74.783,386.273,30.7537200431563,"bigChew"
"71",1,"Old","F",81,4,"","","dark","9/18/2023","6:00:00 AM",12,"latrine","Accl","","Y","20230918_06.00_C4_081_F_latrine_ps.csv",10,31.705,454.637,6.97369549772676,"smallChew"
"72",1,"Old","F",81,4,"","","light","9/18/2023","6:00:00 PM",12,"latrine","Accl","","","20230918_18.00_C4_081_F_latrine.csv",2,12.295,451.761,2.72157180456038,NA
"73",1,"Old","F",81,4,"","","dark","9/19/2023","6:00:00 AM",12,"latrine","Accl","","Y","20230919_06.00_C4_081_F_latrine_ps.csv",25,70.399,466.435,15.0929925927514,"smallChew"
"74",1,"Old","F",81,4,"","","light","9/19/2023","6:00:00 PM",12,"latrine","Accl","","","20230919_18.00_C4_081_F_latrine.csv",23,16.185,432.84,3.73925700027724,NA
"75",1,"Old","F",81,4,"","","dark","9/20/2023","6:00:00 AM",12,"latrine","Accl","","Y","20230920_06.00_C4_081_F_latrine_ps.csv",50,77.565,455.944,17.0119576088292,"smallChew"
"76",1,"Old","F",81,4,"","","light","9/20/2023","6:00:00 PM",12,"latrine","Accl","","","20230920_18.00_C4_081_F_latrine.csv",6,29.35,447.679,6.55603680315583,NA
"77",1,"Old","F",81,4,"","","dark","9/21/2023","6:00:00 AM",12,"latrine","Accl","","","20230921_06.00_C4_081_F_latrine.csv",5,22.474,445.359,5.04626604604375,NA
"78",1,"Old","F",81,4,"","","light","9/21/2023","6:00:00 PM",12,"latrine","Accl","","","20230921_18.00_C4_081_F_latrine.csv",11,20.264,441.266,4.59224141447562,NA
"79",1,"Old","F",81,4,"","","dark","9/22/2023","6:00:00 AM",12,"latrine","Accl","","Y","20230922_06.00_C4_081_F_latrine.csv",5,32.413,448.29,7.54780195315331,"bigChew"
"80",1,"Old","F",81,4,"","","light","9/22/2023","6:00:00 PM",12,"latrine","Accl","","","20230922_18.00_C4_081_F_latrine.csv",4,18.527,429.553,4.31308825686237,NA
"81",1,"Old","F",81,4,"","","dark","9/23/2023","6:00:00 AM",12,"latrine","Accl","","Y","20230923_06.00_C4_081_F_latrine_ps.csv",18,25.365,452.975,5.5996467796236,"smallChew"
"82",1,"Old","F",81,4,"09232023_81","L1","light","9/23/2023","6:00:00 PM",12,"latrine","Record","","","20230923_18.00_C4_081_F_latrine.csv",2,12.133,432.478,2.80546062458668,NA
"83",1,"Old","F",81,4,"09232023_81","D1","dark","9/24/2023","6:00:00 AM",12,"latrine","Record","","Y","20230924_06.00_C4_081_F_latrine_ps.csv",72,23.34,449.104,5.3498566902771,"bigChew"
"84",1,"Old","F",81,4,"09232023_81","L2","light","9/24/2023","6:00:00 PM",12,"latrine","Record","","","20230924_18.00_C4_081_F_latrine.csv",2,16.021,444.446,3.60471238350666,NA
"85",1,"Old","F",81,4,"09232023_81","D2","dark","9/25/2023","6:00:00 AM",12,"latrine","Record","","Y","20230925_06.00_C4_081_latrine_ps.csv",151,33.773,441.182,9.43029416373648,"bigChew"
"86",1,"Old","F",82,2,"","","light","10/2/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"87",1,"Old","F",82,2,"","","dark","10/3/2023","6:00:00 AM",12,"latrine","Accl","","","20231003_06.00_C5_082_F_latrine.csv",3,22.017,443.301,4.96660282742426,NA
"88",1,"Old","F",82,2,"","","light","10/3/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"89",1,"Old","F",82,2,"","","dark","10/4/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231004_06.00_C5_082_F_latrine_ps.csv",7,17.985,451.801,3.98073488106489,"smallChew"
"90",1,"Old","F",82,2,"10042023_82","L1","light","10/4/2023","6:00:00 PM",12,"latrine","Record","","","20231004_18.00_C5_082_F_latrine.csv",4,6.959,439.112,1.58478930204595,NA
"91",1,"Old","F",82,2,"10042023_82","D1","dark","10/5/2023","6:00:00 AM",12,"latrine","Record","","","20231005_06.00_C5_082_F_latrine.csv",4,24.795,433.369,5.72145215739935,NA
"92",1,"Old","F",82,2,"10042023_82","L2","light","10/5/2023","6:00:00 PM",12,"latrine","Record","","","20231005_18.00_C5_082_F_latrine.csv",3,22.078,450.079,4.90536105883634,NA
