Round,Cohort,Age,Cage,Sex,numMice,Time,endDate,endTime,trialDur,cageType,Trial,segment,trialNum,trialType,fileName,TrueZero,Chewed,PhotoShop,CSV
1,4,Old,81,F,4,dark,9/19/2023,6:00:00 AM,12,latrine,,,2,Accl,20230919_06.00_C4_081_F_latrine.tiff,,Y,Y,20230919_06.00_C4_081_F_latrine_ps.csv
1,4,Old,81,F,4,light,9/19/2023,6:00:00 PM,12,latrine,,,2,Accl,20230919_18.00_C4_081_F_latrine.tiff,,,,20230919_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/20/2023,6:00:00 AM,12,latrine,,,3,Accl,20230920_06.00_C4_081_F_latrine.tiff,,Y,Y,20230920_06.00_C4_081_F_latrine_ps.csv
1,4,Old,81,F,4,light,9/20/2023,6:00:00 PM,12,latrine,,,3,Accl,20230920_18.00_C4_081_F_latrine.tiff,,,,20230920_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/21/2023,6:00:00 AM,12,latrine,,,4,Accl,20230921_06.00_C4_081_F_latrine.tiff,,,,20230921_06.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,light,9/21/2023,6:00:00 PM,12,latrine,,,4,Accl,20230921_18.00_C4_081_F_latrine.tiff,,,,20230921_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/22/2023,6:00:00 AM,12,latrine,,,5,Accl,20230922_06.00_C4_081_F_latrine.tiff,,Y,,20230922_06.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,light,9/22/2023,6:00:00 PM,12,latrine,,,5,Accl,20230922_18.00_C4_081_F_latrine.tiff,,,,20230922_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/23/2023,6:00:00 AM,12,latrine,,,6,Accl,20230923_06.00_C4_081_F_latrine.tiff,,Y,Y,20230923_06.00_C4_081_F_latrine_ps.csv
1,4,Old,81,F,4,light,9/23/2023,6:00:00 PM,12,latrine,09232023_81,L1,7,Record,20230923_18.00_C4_081_F_latrine.tiff,,,,20230923_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/24/2023,6:00:00 AM,12,latrine,09232023_81,D1,7,Record,20230924_06.00_C4_081_F_latrine.tiff,,Y,Y,20230924_06.00_C4_081_F_latrine_ps.csv
1,4,Old,81,F,4,light,9/24/2023,6:00:00 PM,12,latrine,09232023_81,L2,8,Record,20230924_18.00_C4_081_F_latrine.tiff,,,,20230924_18.00_C4_081_F_latrine.csv
1,4,Old,81,F,4,dark,9/25/2023,6:00:00 AM,12,latrine,09232023_81,D2,8,Record,20230925_06.00_C4_081_latrine.tiff,,Y,Y,20230925_06.00_C4_081_latrine_ps.csv
1,5,Old,82,F,2,light,10/2/2023,6:00:00 PM,12,latrine,,,1,Accl,20231002_18.00_C5_082_F_latrine.tiff,Y,,,
1,5,Old,82,F,2,dark,10/3/2023,6:00:00 AM,12,latrine,,,1,Accl,20231003_06.00_C5_082_F_latrine.tiff,,,,20231003_06.00_C5_082_F_latrine.csv
1,5,Old,82,F,2,light,10/3/2023,6:00:00 PM,12,latrine,,,2,Accl,20231003_18.00_C5_082_F_latrine.tiff,Y,,,
1,5,Old,82,F,2,dark,10/4/2023,6:00:00 AM,12,latrine,,,2,Accl,20231004_06.00_C5_082_F_latrine.tiff,,Y,Y,20231004_06.00_C5_082_F_latrine_ps.csv
1,5,Old,82,F,2,light,10/4/2023,6:00:00 PM,12,latrine,10042023_82,L1,3,Record,20231004_18.00_C5_082_F_latrine.tiff,,,,20231004_18.00_C5_082_F_latrine.csv
1,5,Old,82,F,2,dark,10/5/2023,6:00:00 AM,12,latrine,10042023_82,D1,3,Record,20231005_06.00_C5_082_F_latrine.tiff,,,,20231005_06.00_C5_082_F_latrine.csv
1,5,Old,82,F,2,light,10/5/2023,6:00:00 PM,12,latrine,10042023_82,L2,4,Record,20231005_18.00_C5_082_F_latrine.tiff,,,,20231005_18.00_C5_082_F_latrine.csv
1,5,Old,82,F,2,dark,10/6/2023,6:00:00 AM,12,latrine,10042023_82,D2,4,Record,20231006_06.00_C5_082_F_latrine.tiff,,,,20231006_06.00_C5_082_F_latrine.csv
1,5,Old,83,M,2,light,10/2/2023,6:00:00 PM,12,latrine,,,1,Accl,20231002_18.00_C5_083_M_latrine.tiff,Y,,,
1,5,Old,83,M,2,dark,10/3/2023,6:00:00 AM,12,latrine,,,1,Accl,20231003_06.00_C5_083_M_latrine.tiff,,,,20231003_06.00_C5_083_M_latrine.csv
1,5,Old,83,M,2,light,10/3/2023,6:00:00 PM,12,latrine,,,2,Accl,20231003_18.00_C5_083_M_latrine.tiff,Y,,,
1,5,Old,83,M,2,dark,10/4/2023,6:00:00 AM,12,latrine,,,2,Accl,20231004_06.00_C5_083_M_latrine.tiff,,,,20231004_06.00_C5_083_M_latrine.csv
1,5,Old,83,M,2,light,10/4/2023,6:00:00 PM,12,latrine,10042023_83,L1,3,Record,20231004_18.00_C5_083_M_latrine.tiff,Y,,,
1,5,Old,83,M,2,dark,10/5/2023,6:00:00 AM,12,latrine,10042023_83,D1,3,Record,20231005_06.00_C5_083_M_latrine.tiff,,,,20231005_06.00_C5_083_M_latrine.csv
1,5,Old,83,M,2,light,10/5/2023,6:00:00 PM,12,latrine,10042023_83,L2,4,Record,20231005_18.00_C5_083_M_latrine.tiff,Y,,,
1,5,Old,83,M,2,dark,10/6/2023,6:00:00 AM,12,latrine,10042023_83,D2,4,Record,20231006_06.00_C5_083_M_latrine.tiff,,,,20231006_06.00_C5_083_M_latrine.csv
1,6,Young,84,F,4,light,10/17/2023,6:00:00 PM,12,latrine,,,1,Accl,20231017_18.00_C6_084_F_latrine.tiff,Y,,,
1,6,Young,84,F,4,dark,10/18/2023,6:00:00 AM,12,latrine,,,1,Accl,20231018_06.00_C6_084_F_latrine.tiff,Y,Y,,20231018_06.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,light,10/18/2023,6:00:00 PM,12,latrine,,,2,Accl,20231018_18.00_C6_084_F_latrine.tiff,Y,Y,,20231018_18.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,dark,10/19/2023,6:00:00 AM,12,latrine,,,2,Accl,20231019_06.00_C6_084_F_latrine.tiff,,Y,,20231019_06.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,light,10/19/2023,6:00:00 PM,12,latrine,,,3,Accl,20231019_18.00_C6_084_F_latrine.tiff,Y,Y,,20231019_18.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,light,10/23/2023,6:00:00 PM,12,latrine,,,4,Accl,20231023_18.00_C6_084_F_latrine.tiff,Y,Y,,20231023_18.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,dark,10/24/2023,6:00:00 AM,12,latrine,,,4,Accl,20231024_06.00_C6_084_F_latrine.tiff,,Y,,20231024_06.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,light,10/24/2023,6:00:00 PM,12,latrine,,,5,Accl,20231024_18.00_C6_084_F_latrine.tiff,Y,,,
1,6,Young,84,F,4,dark,10/25/2023,6:00:00 AM,12,latrine,,,5,Accl,20231025_06.00_C6_084_F_latrine.tiff,,Y,Y,20231025_06.00_C6_084_F_latrine_ps.csv
1,6,Young,84,F,4,light,10/25/2023,6:00:00 PM,12,latrine,10252023_84,L1,6,Record,20231025_18.00_C6_084_F_latrine.tiff,,Y,Y,20231025_18.00_C6_084_F_latrine_ps.csv
1,6,Young,84,F,4,dark,10/26/2023,6:00:00 AM,12,latrine,10252023_84,D1,6,Record,20231026_06.00_C6_084_F_latrine.tiff,,Y,,20231026_06.00_C6_084_F_latrine.csv
1,6,Young,84,F,4,light,10/26/2023,6:00:00 PM,12,latrine,10252023_84,L2,7,Record,20231026_18.00_C6_084_F_latrine.tiff,,Y,Y,20231026_18.00_C6_084_F_latrine_ps.csv
1,6,Young,84,F,4,dark,10/27/2023,6:00:00 AM,12,latrine,10252023_84,D2,7,Record,20231027_06.00_C6_084_F_latrine.tiff,,Y,Y,20231027_06.00_C6_084_F_latrine_ps.csv
1,6,Young,84,F,4,light,10/27/2023,6:00:00 PM,12,home,10272023_84,L1,8,Ctrl,20231027_18.00_C6_084_F_home.tiff,,Y,,20231027_18.00_C6_084_F_home.csv
1,6,Young,84,F,4,light,10/27/2023,6:00:00 PM,12,latrine,10272023_84,L1,8,Ctrl,20231027_18.00_C6_084_F_latrine.tiff,,Y,Y,20231027_18.00_C6_084_F_latrine_ps.csv
1,6,Young,84,F,4,dark,10/28/2023,6:00:00 AM,12,home,10272023_84,D1,8,Ctrl,20231028_06.00_C6_084_F_home.tiff,,Y,,20231028_06.00_C6_084_F_home.csv
1,6,Young,84,F,4,dark,10/28/2023,6:00:00 AM,12,latrine,10272023_84,D1,8,Ctrl,20231028_06.00_C6_084_F_latrine.tiff,,Y,Y,20231028_06.00_C6_084_F_latrine_ps.csv
1,6,Young,85,F,4,light,10/17/2023,6:00:00 PM,12,latrine,,,1,Accl,20231017_18.00_C6_085_F_latrine.tiff,,,,20231017_18.00_C6_085_F_latrine.csv
